DATE,TMIN
9/4/2015,52
9/5/2015,49
9/6/2015,48
9/7/2015,56
9/8/2015,53
9/9/2015,54
9/10/2015,55
9/11/2015,55
9/12/2015,54
9/13/2015,56
9/14/2015,53
9/15/2015,51
9/16/2015,50
9/17/2015,50
9/18/2015,50
9/19/2015,50
9/20/2015,50
9/21/2015,54
9/22/2015,49
9/23/2015,46
9/24/2015,52
9/25/2015,52
9/26/2015,55
9/27/2015,56
9/28/2015,56
9/29/2015,56
9/30/2015,55
10/1/2015,56
10/2/2015,52
10/3/2015,44
10/4/2015,47
10/5/2015,43
10/6/2015,41
10/7/2015,43
10/8/2015,46
10/9/2015,47
10/10/2015,47
10/11/2015,48
10/12/2015,52
10/13/2015,51
10/14/2015,51
10/15/2015,50
10/16/2015,48
10/17/2015,44
10/18/2015,45
10/19/2015,44
10/20/2015,39
10/21/2015,40
10/22/2015,37
10/23/2015,35
10/24/2015,38
10/25/2015,39
10/26/2015,39
10/27/2015,36
10/28/2015,33
10/29/2015,35
10/30/2015,35
10/31/2015,34
11/1/2015,37
11/2/2015,40
11/3/2015,38
11/4/2015,23
11/5/2015,23
11/6/2015,23
11/7/2015,25
11/8/2015,26
11/9/2015,32
11/10/2015,23
11/11/2015,20
11/12/2015,23
11/13/2015,30
11/14/2015,33
11/15/2015,30
11/16/2015,20
11/17/2015,22
11/18/2015,19
11/19/2015,29
11/20/2015,31
11/21/2015,26
11/22/2015,27
11/23/2015,32
11/24/2015,33
11/25/2015,32
11/26/2015,29
11/27/2015,26
11/28/2015,20
11/29/2015,18
11/30/2015,12
12/1/2015,15
12/2/2015,20
12/3/2015,26
12/4/2015,33
12/5/2015,25
12/6/2015,26
12/7/2015,32
12/8/2015,29
12/9/2015,32
12/10/2015,32
12/11/2015,33
12/12/2015,28
12/13/2015,22
12/14/2015,16
12/15/2015,11
12/16/2015,9
12/17/2015,13
12/18/2015,13
12/19/2015,29
12/20/2015,23
12/21/2015,19
12/22/2015,24
12/23/2015,14
12/24/2015,9
12/25/2015,9
12/26/2015,8
12/27/2015,16
12/28/2015,15
12/29/2015,13
12/30/2015,13
12/31/2015,14
1/1/2016,15
1/2/2016,18
1/3/2016,28
1/4/2016,25
1/5/2016,23
1/6/2016,25
1/7/2016,21
1/8/2016,15
1/9/2016,13
1/10/2016,8
1/11/2016,9
1/12/2016,18
1/13/2016,22
1/14/2016,18
1/15/2016,15
1/16/2016,12
1/17/2016,18
1/18/2016,22
1/19/2016,24
1/20/2016,20
1/21/2016,20
1/22/2016,21
1/23/2016,30
1/24/2016,21
1/25/2016,17
1/26/2016,14
1/27/2016,19
1/28/2016,26
1/29/2016,26
1/30/2016,30
1/31/2016,30
2/1/2016,13
2/2/2016,7
2/3/2016,4
2/4/2016,4
2/5/2016,8
2/6/2016,16
2/7/2016,21
2/8/2016,25
2/9/2016,31
2/10/2016,35
2/11/2016,33
2/12/2016,37
2/13/2016,39
2/14/2016,33
2/15/2016,27
2/16/2016,29
2/17/2016,34
2/18/2016,40
2/19/2016,33
2/20/2016,36
2/21/2016,34
2/22/2016,28
2/23/2016,19
2/24/2016,16
2/25/2016,26
2/26/2016,32
2/27/2016,35
2/28/2016,37
2/29/2016,35
3/1/2016,36
3/2/2016,38
3/3/2016,37
3/4/2016,40
3/5/2016,40
3/6/2016,33
3/7/2016,24
3/8/2016,23
3/9/2016,26
3/10/2016,32
3/11/2016,40
3/12/2016,35
3/13/2016,30
3/14/2016,31
3/15/2016,28
3/16/2016,28
3/17/2016,30
3/18/2016,35
3/19/2016,34
3/20/2016,32
3/21/2016,40
3/22/2016,23
3/23/2016,22
3/24/2016,27
3/25/2016,30
3/26/2016,24
3/27/2016,20
3/28/2016,36
3/29/2016,23
3/30/2016,20
